hour,Technology,value
969,demand,6486.491862636119
970,demand,6295.360356117186
971,demand,6083.959788076135
972,demand,5875.34507937204
973,demand,5831.6885175026455
974,demand,5820.93164805834
975,demand,5842.037536417874
976,demand,5975.870093294955
977,demand,6538.370160960775
978,demand,6670.168920243696
979,demand,6550.597252064082
980,demand,6362.23216886266
981,demand,6053.600972087537
982,demand,5692.199285107614
983,demand,5358.0696467191665
984,demand,4979.464575880176
985,demand,4908.0053901527135
986,demand,4776.453827191236
987,demand,4721.718205739016
988,demand,4689.243767534555
989,demand,4637.864556118977
990,demand,5280.46560957064
991,demand,6036.679611924505
992,demand,6608.209994481458
993,demand,6636.482053099037
994,demand,6407.597593717951
995,demand,6230.799537717843
996,demand,6009.592335136858
997,demand,5901.38895606595
998,demand,5848.692497286114
999,demand,5844.184797018683
1000,demand,5981.1509075900885
1001,demand,6723.762597487295
1002,demand,7095.024210671361
1003,demand,6996.977788275541
1004,demand,6800.754868418712
1005,demand,6466.797753264153
1006,demand,6062.294033429413
1007,demand,5732.610935342228
1008,demand,5359.345262523232
1009,demand,5202.311672970673
1010,demand,5088.987538424831
1011,demand,5031.006381805149
1012,demand,5087.862023678528
1013,demand,5364.296705060443
1014,demand,6448.474581752429
1015,demand,7417.85841377537
1016,demand,7981.877485969515
1017,demand,7847.987340686623
1018,demand,7472.280407106649
1019,demand,7160.252145206607
1020,demand,6885.278247588665
1021,demand,6750.984524986812
1022,demand,6612.072409457741
1023,demand,6489.476697187014
1024,demand,6551.942199829556
1025,demand,7148.5211418701
1026,demand,7362.116307970906
1027,demand,7176.601679305219
1028,demand,6910.802486988698
1029,demand,6527.607935313068
1030,demand,6035.690698068199
1031,demand,5604.729760523105
1032,demand,5206.207841081839
1033,demand,4861.1325032930035
1034,demand,4727.890124952218
1035,demand,4687.575740467041
1036,demand,4727.0884133374
1037,demand,4976.165817798655
1038,demand,5960.891511265832
1039,demand,6792.383202651865
1040,demand,7211.977537087194
1041,demand,7178.27154699673
1042,demand,6920.288871096989
1043,demand,6650.901899971472
1044,demand,6414.786389999672
1045,demand,6305.191074904649
1046,demand,6184.71868991968
1047,demand,6078.556797364736
1048,demand,6149.096292355147
1049,demand,6730.460364341373
1050,demand,6890.772726486603
1051,demand,6723.202545356542
1052,demand,6451.147981097931
1053,demand,6043.156394948588
1054,demand,5571.349726000836
1055,demand,5174.762323133855
1056,demand,4785.841222297427
1057,demand,4705.9569405329075
1058,demand,4590.736085676529
1059,demand,4540.867059094251
1060,demand,4600.659262201012
1061,demand,4850.447910447193
1062,demand,5849.559442971211
